date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
2012-01-01,22,M,Black or Black British,5,25,M,Gun,Solved,51.521,-0.11141,Camden
2012-01-02,20,F,White or White British,1,19,M,Knife,Solved,51.53799,-0.06764,Hackney
2012-01-25,64,M,White or White British,2,37,M,None,Solved,51.46743,0.17192,Bexley
2012-01-29,83,M,White or White British,,,,Other,Solved,51.48159,-0.31872,Hounslow
2012-02-01,32,M,Any Other Ethnic Appearance,3,22,M,Gun,Solved,51.58943,-0.10772,Haringey
2012-02-05,34,F,,1,36,M,None,Solved,51.48924,-0.20963,Hammersmith and Fulham
2012-02-07,17,F,Black or Black British,1,18,M,None,Solved,51.59081,0.08258,Redbridge
2012-02-07,26,M,Black or Black British,1,31,M,None,Solved,51.43364,-0.16324,Wandsworth
2012-02-07,70,M,Black or Black British,1,39,M,Vehicle,Solved,51.51319,-0.42267,Hillingdon
2012-02-14,35,M,Black or Black British,1,28,M,None,Solved,51.55567,-0.29862,Brent
2012-02-15,58,M,Black or Black British,,,,None,Unsolved,51.46646,-0.02087,Lewisham
2012-02-25,26,M,White or White British,2,23,M,Knife,Solved,51.5393,-0.14463,Camden
2012-03-01,80,M,White or White British,1,31,M,None,Solved,51.59651,-0.11502,Haringey
2012-03-01,29,F,White or White British,1,35,M,None,Solved,51.5518,-0.06464,Hackney
2012-03-02,17,M,Black or Black British,3,18,M,Knife,Solved,51.46114,-0.10883,Lambeth
2012-03-10,48,M,Asian or Asian British,1,37,M,None,Solved,51.37847,-0.09347,Croydon
2012-03-13,59,F,White or White British,1,52,M,Knife,Solved,51.50849,-0.3205,Ealing
2012-03-24,76,F,White or White British,1,43,M,Other,Solved,51.43788,-0.05875,Lewisham
2012-03-31,25,M,White or White British,1,27,M,Knife,Solved,51.37064,-0.10012,Croydon
2012-04-08,37,M,White or White British,1,25,M,Other,Solved,51.50722,-0.10402,Southwark
2012-04-09,45,M,White or White British,2,25,M,Knife,Solved,51.52703,-0.19496,Westminster
2012-04-16,49,F,White or White British,2,40,M,Knife,Solved,51.40626,-0.25851,Kingston upon Thames
2012-04-18,55,M,White or White British,2,38,M,None,Solved,51.35582,-0.0211,Croydon
2012-04-30,59,M,White or White British,1,58,M,Knife,Solved,51.54136,-0.10965,Islington
2012-05-09,1,F,White or White British,1,34,F,None,Solved,51.4532,-0.18357,Wandsworth
2012-05-09,1,M,White or White British,1,34,F,None,Solved,51.4532,-0.18357,Wandsworth
2012-05-19,25,M,White or White British,3,23,M,Knife,Solved,51.56508,-0.2375,Brent
2012-05-21,36,M,Black or Black British,1,20,M,Knife,Solved,51.59318,0.00167,Waltham Forest
2012-05-21,46,F,Black or Black British,1,48,M,Knife,Solved,51.59009,-0.07795,Haringey
2012-05-21,24,M,White or White British,1,29,M,None,Solved,51.42095,-0.15605,Merton
2012-05-21,47,M,White or White British,1,45,M,None,Solved,51.51593,-0.12144,Camden
2012-05-25,28,F,Asian or Asian British,1,34,M,None,Solved,51.52325,-0.01297,Tower Hamlets
2012-05-28,18,M,White or White British,5,26,M,None,Solved,51.6014,0.04419,Redbridge
2012-05-29,20,M,Asian or Asian British,1,50,M,Knife,Solved,51.49796,-0.02022,Tower Hamlets
2012-06-01,36,M,White or White British,1,29,M,Knife,Solved,51.35742,-0.13382,Sutton
2012-06-04,22,F,White or White British,1,27,M,None,Solved,51.56514,-0.11832,Islington
2012-06-05,28,M,Black or Black British,6,22,M,Knife,Solved,51.56137,-0.01259,Waltham Forest
2012-06-05,21,M,White or White British,1,25,M,None,Solved,51.3622,0.11517,Bromley
2012-06-06,43,M,Any Other Ethnic Appearance,1,42,M,None,Solved,51.47947,0.05979,Greenwich
2012-06-08,54,M,Asian or Asian British,2,33,M,Knife,Solved,51.49436,0.09583,Greenwich
2012-06-12,58,F,White or White British,1,28,M,None,Solved,51.4044,-0.30102,Kingston upon Thames
2012-06-14,1,M,Black or Black British,2,30,F,Other,Solved,51.47885,0.15947,Bexley
2012-06-17,23,M,Black or Black British,1,28,M,Gun,Solved,51.4254,-0.02129,Lewisham
2012-06-20,32,M,Black or Black British,1,29,M,Gun,Solved,51.51253,-0.32613,Ealing
2012-06-21,46,M,Any Other Ethnic Appearance,1,26,M,Ligature,Solved,51.51311,-0.15892,Westminster
2012-06-24,45,M,White or White British,1,26,M,None,Solved,51.52239,-0.16958,Westminster
2012-06-24,33,M,Black or Black British,1,25,M,Knife,Solved,51.51908,-0.10364,City of London
2012-06-29,24,M,Black or Black British,3,18,M,Knife,Solved,51.54081,0.00125,Newham
2012-07-11,21,M,Black or Black British,1,23,M,Knife,Solved,51.54612,-0.03124,Hackney
2012-07-15,25,M,Asian or Asian British,2,18,M,Gun,Solved,51.40507,-0.08846,Croydon
2012-07-22,76,F,White or White British,,,,None,Unsolved,51.49997,0.09236,Greenwich
2012-07-30,66,M,White or White British,1,68,F,Other,Solved,51.57311,-0.12763,Islington
2012-08-01,16,M,Black or Black British,3,18,M,Knife,Unsolved,51.42723,0.01709,Lewisham
2012-08-03,12,F,White or White British,1,37,M,None,Solved,51.35661,-0.0173,Croydon
2012-08-07,49,M,White or White British,1,50,M,None,Solved,51.48987,-0.14319,Westminster
2012-08-15,79,F,White or White British,1,38,M,Knife,Solved,51.60168,-0.11281,Haringey
2012-08-18,44,M,White or White British,,,,Blunt Object,Solved,51.52633,0.07802,Newham
2012-08-19,18,M,White or White British,2,16,M,Knife,Solved,51.57219,-0.00837,Waltham Forest
2012-08-21,24,M,Black or Black British,2,26,M,Knife,Solved,51.42835,-0.13048,Lambeth
2012-08-30,40,M,White or White British,1,30,M,Knife,Solved,51.50115,-0.24415,Hammersmith and Fulham
2012-08-30,44,F,White or White British,3,48,M,Other,Solved,51.5138,-0.14243,Westminster
2012-08-31,28,M,,1,20,M,Blunt Object,Solved,51.60232,0.08416,Redbridge
2012-09-03,58,M,White or White British,1,45,F,Knife,Solved,51.6113,-0.07087,Enfield
2012-09-07,47,M,Black or Black British,1,46,M,Knife,Solved,51.47512,-0.05699,Southwark
2012-09-10,1,F,,1,38,F,Other,Solved,51.441,-0.13976,Wandsworth
2012-09-13,26,M,Black or Black British,4,22,M,Knife,Solved,51.56383,-0.27186,Brent
2012-09-15,14,M,Black or Black British,1,17,M,Knife,Solved,51.45427,0.01171,Lewisham
2012-09-26,21,M,Black or Black British,1,16,M,Knife,Solved,51.48722,-0.08471,Southwark
2012-09-27,15,M,Black or Black British,2,14,M,Knife,Solved,51.46872,-0.10594,Lambeth
2012-09-29,32,F,White or White British,1,30,M,Knife,Solved,51.54425,-0.26845,Brent
2012-10-04,23,M,White or White British,1,19,M,Knife,Solved,51.59444,-0.1089,Haringey
2012-10-11,49,M,White or White British,1,44,M,Knife,Solved,51.47324,-0.07799,Southwark
2012-10-20,28,M,Black or Black British,,,,Knife,Unsolved,51.62875,-0.04315,Enfield
2012-10-20,20,M,Black or Black British,1,24,M,Knife,Solved,51.4312,0.05507,Greenwich
2012-10-25,77,F,White or White British,1,20,M,None,Solved,51.48698,-0.30297,Hounslow
2012-10-25,20,M,Black or Black British,4,22,M,Knife,Solved,51.41094,-0.30393,Kingston upon Thames
2012-10-25,65,M,,1,27,M,Knife,Solved,51.46977,-0.2102,Hammersmith and Fulham
2012-10-28,46,M,Asian or Asian British,1,20,M,Knife,Solved,51.5783,-0.02421,Waltham Forest
2012-11-03,29,M,Black or Black British,5,24,M,Knife,Solved,51.56662,0.08385,Redbridge
2012-11-07,49,M,White or White British,,,,None,Unsolved,51.40403,0.00692,Bromley
2012-11-10,73,M,White or White British,1,20,M,Knife,Solved,51.47134,-0.1894,Hammersmith and Fulham
2012-11-11,22,M,Black or Black British,8,24,M,Blunt Object,Solved,51.45792,-0.01315,Lewisham
2012-11-11,20,M,White or White British,1,21,M,None,Solved,51.4261,-0.33026,Richmond upon Thames
