date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
1/1/2012,22,M,Black or Black British,5,25,M,Gun,Solved,51.521,-0.11141,Holborn and St Pancras
1/2/2012,20,F,White or White British,1,19,M,Knife,Solved,51.53799,-0.06764,Hackney South and Shoreditch
1/21/2012,32,F,Asian or Asian British,3,62,M,Other,Unsolved,51.51022,-0.312487,Ealing Central and Acton
1/25/2012,64,M,White or White British,2,37,M,None,Solved,51.46743,0.17192,Bexleyheath and Crayford
1/29/2012,83,M,White or White British,,,,Other,Solved,51.48159,-0.31872,Brentford and Isleworth
2/1/2012,32,M,Any Other Ethnic Appearance,3,22,M,Gun,Solved,51.58943,-0.10772,Hornsey and Wood Green
2/5/2012,34,F,,1,36,M,None,Solved,51.48924,-0.20963,Hammersmith
2/7/2012,70,M,Black or Black British,1,39,M,Vehicle,Solved,51.51319,-0.42267,Hayes and Harlington
2/7/2012,17,F,Black or Black British,1,18,M,None,Solved,51.59081,0.08258,Ilford North
2/7/2012,26,M,Black or Black British,1,31,M,None,Solved,51.43364,-0.16324,Tooting
2/14/2012,35,M,Black or Black British,1,28,M,None,Solved,51.55567,-0.29862,Brent North
2/15/2012,58,M,Black or Black British,,,,None,Unsolved,51.46646,-0.02087,"Lewisham, Deptford"
2/25/2012,26,M,White or White British,2,23,M,Knife,Solved,51.5393,-0.14463,Holborn and St Pancras
3/1/2012,29,F,White or White British,1,35,M,None,Solved,51.5518,-0.06464,Hackney South and Shoreditch
3/1/2012,80,M,White or White British,1,31,M,None,Solved,51.59651,-0.11502,Hornsey and Wood Green
3/2/2012,17,M,Black or Black British,3,18,M,Knife,Solved,51.46114,-0.10883,Dulwich and West Norwood
3/10/2012,48,M,Asian or Asian British,1,37,M,None,Solved,51.37847,-0.09347,Croydon Central
3/13/2012,59,F,White or White British,1,52,M,Knife,Solved,51.50849,-0.3205,Ealing Central and Acton
3/24/2012,76,F,White or White British,1,43,M,Other,Solved,51.43788,-0.05875,Lewisham West and Penge
3/31/2012,25,M,White or White British,1,27,M,Knife,Solved,51.37064,-0.10012,Croydon Central
4/8/2012,37,M,White or White British,1,25,M,Other,Solved,51.50722,-0.10402,Bermondsey and Old Southwark
4/9/2012,45,M,White or White British,2,25,M,Knife,Solved,51.52703,-0.19496,Westminster North
4/16/2012,49,F,White or White British,2,40,M,Knife,Solved,51.40626,-0.25851,Richmond Park
4/18/2012,55,M,White or White British,2,38,M,None,Solved,51.35582,-0.0211,Croydon Central
4/30/2012,59,M,White or White British,1,58,M,Knife,Solved,51.54136,-0.10965,Islington South and Finsbury
5/9/2012,1,F,White or White British,1,34,F,None,Solved,51.4532,-0.18357,Battersea
5/9/2012,1,M,White or White British,1,34,F,None,Solved,51.4532,-0.18357,Battersea
5/19/2012,25,M,White or White British,3,23,M,Knife,Solved,51.56508,-0.2375,Brent Central
5/21/2012,47,M,White or White British,1,45,M,None,Solved,51.51593,-0.12144,Holborn and St Pancras
5/21/2012,46,F,Black or Black British,1,48,M,Knife,Solved,51.59009,-0.07795,Tottenham
5/21/2012,24,M,White or White British,1,29,M,None,Solved,51.42095,-0.15605,Tooting
5/21/2012,36,M,Black or Black British,1,20,M,Knife,Solved,51.59318,0.00167,Chingford and Woodford Green
5/25/2012,28,F,Asian or Asian British,1,34,M,None,Solved,51.52325,-0.01297,Bethnal Green and Bow
5/28/2012,18,M,White or White British,5,26,M,None,Solved,51.6014,0.04419,Ilford North
5/29/2012,20,M,Asian or Asian British,1,50,M,Knife,Solved,51.49796,-0.02022,Bethnal Green and Bow
6/1/2012,36,M,White or White British,1,29,M,Knife,Solved,51.35742,-0.13382,Carshalton and Wallington
6/4/2012,22,F,White or White British,1,27,M,None,Solved,51.56514,-0.11832,Islington North
6/5/2012,21,M,White or White British,1,25,M,None,Solved,51.3622,0.11517,Orpington
6/5/2012,28,M,Black or Black British,6,22,M,Knife,Solved,51.56137,-0.01259,Leyton and Wanstead
6/6/2012,43,M,Any Other Ethnic Appearance,1,42,M,None,Solved,51.47947,0.05979,Greenwich and Woolwich
6/8/2012,54,M,Asian or Asian British,2,33,M,Knife,Solved,51.49436,0.09583,Erith and Thamesmead
6/12/2012,58,F,White or White British,1,28,M,None,Solved,51.4044,-0.30102,Kingston and Surbiton
6/14/2012,1,M,Black or Black British,2,30,F,Other,Solved,51.47885,0.15947,Erith and Thamesmead
6/17/2012,23,M,Black or Black British,1,28,M,Gun,Solved,51.4254,-0.02129,Lewisham West and Penge
6/20/2012,32,M,Black or Black British,1,29,M,Gun,Solved,51.51253,-0.32613,Ealing North
6/21/2012,46,M,Any Other Ethnic Appearance,1,26,M,Ligature,Solved,51.51311,-0.15892,Cities of London and Westminster
6/24/2012,33,M,Black or Black British,1,25,M,Knife,Solved,51.51908,-0.10364,Cities of London and Westminster
6/24/2012,45,M,White or White British,1,26,M,None,Solved,51.52239,-0.16958,Westminster North
6/29/2012,24,M,Black or Black British,3,18,M,Knife,Solved,51.54081,0.00125,West Ham
7/11/2012,21,M,Black or Black British,1,23,M,Knife,Solved,51.54612,-0.03124,Hackney South and Shoreditch
7/15/2012,25,M,Asian or Asian British,2,18,M,Gun,Solved,51.40507,-0.08846,Croydon North
7/22/2012,76,F,White or White British,,,,None,Unsolved,51.49997,0.09236,Erith and Thamesmead
